0, 2, 88045
0, 4, 1
0, 0, 54109
0, 1, 102337
0, 3, 117639
1, 1, 12642
1, 2, 84972
1, 4, 110253
1, 3, 4
1, 0, 110067
2, 3, 2
2, 1, 51947
2, 2, 61400
2, 0, 12898
2, 4, 89567
3, 3, 111397
3, 0, 39827
3, 1, 102984
3, 2, 104053
3, 4, 22849
4, 4, 2
4, 2, 89508
4, 0, 110851
4, 1, 15810
4, 3, 128679
5, 2, 87968
5, 0, 16243
5, 3, 3
5, 4, 73711
5, 1, 73761
6, 0, 48172
6, 2, 97592
6, 1, 9150
6, 3, 97477
6, 4, 111488
7, 4, 130122
7, 3, 11032
7, 1, 2
7, 2, 95515
7, 0, 140201
8, 2, 85956
8, 0, 29702
8, 4, 97834
8, 1, 3
8, 3, 85717
9, 0, 126065
9, 4, 125100
9, 2, 82791
9, 1, 3
9, 3, 61836
10, 0, 126077
10, 1, 79799
10, 4, 126349
10, 2, 1
10, 3, 16021
11, 2, 5
11, 0, 121118
11, 3, 60038
11, 4, 120749
11, 1, 95672
12, 1, 1
12, 2, 77784
12, 4, 53764
12, 0, 59991
12, 3, 78987
13, 1, 69566
13, 4, 84944
13, 2, 69202
13, 0, 3
13, 3, 19071
14, 3, 3
14, 1, 70679
14, 4, 99522
14, 0, 66557
14, 2, 87735
15, 1, 87644
15, 0, 25150
15, 2, 3
15, 4, 101424
15, 3, 87511
16, 3, 5
16, 1, 50743
16, 0, 151456
16, 4, 152626
16, 2, 100433
17, 1, 52666
17, 0, 69503
17, 3, 64461
17, 4, 71282
17, 2, 2
18, 2, 62103
18, 0, 10390
18, 1, 69454
18, 4, 81536
18, 3, 3
19, 0, 100828
19, 2, 79421
19, 3, 13619
19, 4, 98541
19, 1, 23044
20, 2, 38752
20, 0, 122121
20, 3, 94115
20, 1, 2
20, 4, 120716
21, 0, 92660
21, 4, 7234
21, 1, 4
21, 2, 68710
21, 3, 67146
22, 2, 2
22, 4, 123224
22, 3, 35680
22, 0, 110739
22, 1, 112526
23, 1, 3
23, 2, 61411
23, 3, 80046
23, 0, 77831
23, 4, 102207
24, 1, 137239
24, 3, 117588
24, 2, 9526
24, 0, 147636
24, 4, 72690
25, 3, 53376
25, 1, 12341
25, 4, 3
25, 0, 80036
25, 2, 53427
26, 1, 98234
26, 3, 86432
26, 0, 53203
26, 4, 69950
26, 2, 5822
27, 1, 2403
27, 0, 100029
27, 3, 71218
27, 2, 2
27, 4, 73190
28, 4, 2
28, 0, 107644
28, 2, 82267
28, 3, 3593
28, 1, 106615
29, 3, 12129
29, 0, 92149
29, 1, 2
29, 4, 68767
29, 2, 69646
30, 1, 84259
30, 0, 109432
30, 4, 6703
30, 2, 2
30, 3, 108051
31, 1, 30314
31, 3, 79523
31, 4, 3
31, 2, 100667
31, 0, 111753
32, 2, 2
32, 0, 13996
32, 1, 75988
32, 4, 75380
32, 3, 73299
33, 2, 78876
33, 0, 18864
33, 3, 2
33, 4, 76571
33, 1, 91731
34, 0, 103439
34, 4, 45196
34, 1, 2
34, 3, 74822
34, 2, 71178
35, 1, 60777
35, 2, 1107
35, 0, 88044
35, 4, 59897
35, 3, 15520
36, 0, 4
36, 1, 66565
36, 3, 21177
36, 2, 78404
36, 4, 68850
37, 4, 29552
37, 1, 40672
37, 2, 52904
37, 3, 62314
37, 0, 12502
38, 0, 2
38, 4, 86532
38, 2, 73076
38, 3, 74217
38, 1, 16810
39, 3, 26789
39, 4, 72867
39, 0, 98114
39, 1, 3
39, 2, 71046
40, 3, 108857
40, 1, 83079
40, 0, 107085
40, 4, 3610
40, 2, 2
41, 2, 3
41, 4, 58708
41, 1, 107372
41, 3, 133367
41, 0, 129896
42, 2, 79690
42, 0, 19853
42, 3, 3
42, 4, 65415
42, 1, 89293
43, 1, 1
43, 4, 12138
43, 0, 90131
43, 3, 104479
43, 2, 81979
44, 3, 110176
44, 2, 7010
44, 4, 2
44, 0, 108065
44, 1, 85335
45, 3, 113117
45, 0, 110612
45, 1, 3
45, 2, 83830
45, 4, 39478
46, 4, 3
46, 1, 29508
46, 3, 41443
46, 0, 37869
46, 2, 5515
47, 1, 408
47, 0, 112378
47, 3, 114492
47, 4, 86172
47, 2, 3
48, 1, 84865
48, 3, 101720
48, 4, 84669
48, 2, 3213
48, 0, 52825
49, 3, 58120
49, 0, 11486
49, 4, 4616
49, 1, 89752
49, 2, 71518
50, 1, 2
50, 2, 13950
50, 0, 112944
50, 4, 107676
50, 3, 134607
51, 3, 91248
51, 0, 53639
51, 1, 4
51, 2, 80813
51, 4, 62229
52, 0, 111119
52, 4, 1579
52, 2, 3
52, 1, 85958
52, 3, 112202
53, 1, 51660
53, 2, 2828
53, 4, 54502
53, 3, 3
53, 0, 81584
54, 4, 64253
54, 1, 56932
54, 3, 32714
54, 2, 78159
54, 0, 13778
55, 0, 59468
55, 4, 39476
55, 2, 65466
55, 3, 64406
55, 1, 2
56, 0, 41557
56, 3, 45959
56, 4, 42100
56, 2, 48413
56, 1, 1
57, 0, 104624
57, 2, 116482
57, 3, 55722
57, 4, 90581
57, 1, 18844
58, 1, 2
58, 2, 32831
58, 0, 106366
58, 3, 56669
58, 4, 58078
59, 3, 12467
59, 0, 90637
59, 2, 67391
59, 1, 62592
59, 4, 19101
60, 3, 119233
60, 1, 31685
60, 2, 89547
60, 0, 103579
60, 4, 2
61, 3, 94115
61, 0, 87781
61, 1, 71163
61, 2, 48112
61, 4, 14766
62, 4, 2
62, 1, 83085
62, 2, 86040
62, 3, 104553
62, 0, 53087
63, 3, 2
63, 0, 10964
63, 1, 79009
63, 4, 111044
63, 2, 91298
64, 0, 81132
64, 2, 14273
64, 3, 59008
64, 4, 67328
64, 1, 17793
65, 2, 10492
65, 0, 35389
65, 1, 12516
65, 4, 38377
65, 3, 1
66, 1, 2
66, 0, 120165
66, 4, 126913
66, 3, 61010
66, 2, 70054
67, 0, 121211
67, 2, 17489
67, 4, 127870
67, 1, 7403
67, 3, 115201
68, 1, 64845
68, 4, 97330
68, 0, 75862
68, 3, 62056
68, 2, 5
69, 3, 62402
69, 2, 5926
69, 4, 2
69, 0, 83688
69, 1, 63739
70, 1, 2
70, 3, 113791
70, 4, 41141
70, 0, 113343
70, 2, 87696
71, 1, 67513
71, 4, 87176
71, 0, 14614
71, 3, 74632
71, 2, 2
72, 2, 3
72, 0, 120427
72, 3, 95788
72, 1, 45938
72, 4, 120503
73, 3, 9243
73, 0, 99490
73, 2, 69014
73, 1, 62654
73, 4, 14690
74, 4, 2
74, 0, 43049
74, 2, 100604
74, 1, 89596
74, 3, 116376
75, 2, 77865
75, 1, 74276
75, 4, 36632
75, 3, 3
75, 0, 104280
76, 3, 91503
76, 0, 22259
76, 2, 83493
76, 1, 77680
76, 4, 16059
77, 1, 47698
77, 0, 6268
77, 2, 65542
77, 3, 1
77, 4, 66323
78, 1, 90975
78, 0, 117216
78, 3, 117039
78, 4, 35885
78, 2, 2
79, 1, 24774
79, 3, 117086
79, 0, 98323
79, 4, 123461
79, 2, 18836
80, 0, 106467
80, 1, 56664
80, 3, 83265
80, 4, 81741
80, 2, 2
81, 1, 72784
81, 0, 111949
81, 3, 111818
81, 4, 28828
81, 2, 3
82, 1, 62230
82, 0, 100297
82, 2, 10808
82, 4, 74180
82, 3, 19394
83, 4, 77602
83, 1, 87611
83, 2, 87259
83, 0, 38385
83, 3, 2
84, 3, 3322
84, 1, 76074
84, 2, 93466
